ที่ทำการ,รหัสไปรษณีย์,ตำแหน่ง,เบอร์โทรศัพท์,สังกัด
ปณภ.สามเงา,63130,หน.ปณ.,091-772-0617,ปข.6
ปณภ.แม่ระมาด,63140,หน.ปณ.,091-772-0597,ปข.6
ปณภ.ท่าสองยาง,63150,ร/ก หน.ปณ.,091-772-0596,ปข.6
ปณภ.พบพระ,63160,ร/ก หน.ปณ.,091-772-0607,ปข.6
ปณภ.อุ้มผาง,63170,หน.ปณ.,091-772-0604,ปข.6
ปณภ.วังเจ้า,63180,หน.ปณ.,062-604-5515,ปข.6
ปจ.สุโขทัย,64000,หน.ปจ.สุโขทัย,091-772-0498,ปข.6
ปจ.สุโขทัย,64000,ผช.หน.ปจ.สุโขทัย(ต),091-771-9033,ปข.6
ปจ.สุโขทัย,64000,ผช.หน.ปจ.สุุโขทัย(ป),091-771-9040,ปข.6
ปจ.สุโขทัย,64000,ผปด.,091-772-0503,ปข.6
ปจ.สุโขทัย,64000,ผตข.,062-604-5935,ปข.6
ปจ.สุโขทัย,64000,ทีมขาย,091-771-8795,ปข.6
ปณ.สวรรคโลก,64110,หน.ปณ.สวรรคโลก,091-772-0518,ปข.6
ปณ.ศรีสำโรง,64120,หน.ปณ.ศรีสำโรง,091-772-0512,ปข.6
ปณ.ศรีสัชนาลัย,64130,หน.ปณ.ศรีสัชนาลัย,091-772-0502,ปข.6
ปณ.บ้านด่านลานหอย,64140,หน.ปณ.บ้านด่านลานหอย,091-772-0499,ปข.6
ปณ.ทุ่งเสลี่ยม,64150,หน.ปณ.ทุ่งเสลี่ยม,091-772-0504,ปข.6
ปณ.คีรีมาศ,64160,หน.ปณ.คีรีมาศ,091-772-0513,ปข.6
ปณ.กงไกรลาศ,64170,หน.ปณ.กงไกรลาศ,091-772-3757,ปข.6
ปณ.ศรีนคร,64180,หน.ปณ.ศรีนคร,091-772-3764,ปข.6
ปณ.ท่าชัย,64190,หน.ปณ.ท่าชัย,091-772-3758,ปข.6
ปณ.เมืองเก่า,64210,หน.ปณ.เมืองเก่า,091-772-3761,ปข.6
ปณ.บ้านสวน,64220,หน.ปณ.บ้านสวน,091-772-3778,ปข.6
ปณ.บ้านใหม่ไชยมงคล,64230,หน.ปณ.บ้านใหม่ไชยมงคล,091-772-3753,ปข.6
ปจ.พิษณุโลก,65000,หน.ปจ.,091-7723767,ปข.6
ปจ.พิษณุโลก,65000,ผช.หน.ปจ.(ต),091-7723769,ปข.6
ปจ.พิษณุโลก,65000,ผช.หน.ปจ.(ป),091-7719031,ปข.6
ปจ.พิษณุโลก,65000,ผนจ.1,091-7719570,ปข.6
ปจ.พิษณุโลก,65000,ผนจ.2,091-7719024,ปข.6
ปจ.พิษณุโลก,65000,ผตข.,091-7723771,ปข.6
ปจ.พิษณุโลก,65000,หนง.นจ.1,091-7723768,ปข.6
ปจ.พิษณุโลก,65000,หนจ.นจ.2,091-7723756,ปข.6
ปจ.พิษณุโลก,65000,ผบป.,091-7719027,ปข.6
ปจ.พิษณุโลก,65000,ผอก.,091-7723770,ปข.6
ปจ.พิษณุโลก,36,หน.คปณ.มน.,090-9074410,ปข.6
ปจ.พิษณุโลก,61,หน.คปณ.บรมไตรฯ,064-2647081,ปข.6
ปจ.พิษณุโลก,112,หน.คปณ.สี่แยกฯ,064-2374610,ปข.6
ปจ.พิษณุโลก,287,หน.คปณ.ท่าโพธิ์,065-5047668,ปข.6
ปจ.พิษณุโลก,303,หน.คปณ.บ้านคลอง,091-7718596,ปข.6
ปจ.พิษณุโลก,65000,นายเวรรับฝาก,065-5071606,ปข.6
ปจ.พิษณุโลก,65000,งานรอจ่ายชั้น 2,091-7723774,ปข.6
ปจ.พิษณุโลก,65000,ปจ.พิษณุโลก,090-9074423,ปข.6
ปณ.อรัญญิก,65001,หน.ปณ.อรัญญิก,091-7719029,ปข.6
ปณ.บางกระทุ่ม,65110,หน.ปณ.บางกระทุ่ม,091-7720483,ปข.6
ปณ.นครไทย,65120,หน.ปณ.นครไทย,091-7720495,ปข.6
ปณ.วังทอง,65130,หน.ปณ.วังทอง,091-7720473,ปข.6
ปณ.บางระกำ,65140,หน.ปณ.บางระกำ,091-7720482,ปข.6
ปณ.พรหมพิราม,65150,หน.ปณ.พรหมพิราม,091-7720492,ปข.6
ปณ.วัดโบสถ์,65160,หน.ปณ.วัดโบสถ์,091-7720474,ปข.6
ปณ.ชาติตระการ,65170,หน.ปณ.ชาติตระการ,091-7720432,ปข.6
ปณ.หนองตม,65180,หน.ปณ.หนองตม,091-7720434,ปข.6
ปณ.เนินมะปราง,65190,หน.ปณ.เนินมะปราง,091-7720426,ปข.6
ปณ.เนินกุ่ม,65210,หน.ปณ.เนิินกุ่ม,091-7720423,ปข.6
ปณ.แก่งโสภา,65220,หน.ปณ.แก่งโสภา,091-7720427,ปข.6
ปณ.วัดพริก,65230,หน.ปณ.วัดพริก,091-7720430,ปข.6
ปณ.ชุมแสงสงคราม,65240,หน.ปณ.ชุมแสงสงคราม,091-7720448,ปข.6
ปจ.พิจิตร,66000,หน.ปจ.พิจิตร,091-772-04398,ปข.6
ปจ.พิจิตร,66000,ผช.หน.ปจ.พิจิตร (ต),091-771-9019,ปข.6
ปจ.พิจิตร,66000,ผช.หน.ปจ.พิจิตร(ป),091-771-9023,ปข6
ปจ.พิจิตร,66000,ผนจ.,091-772-0428,ปข.6
ปจ.พิจิตร,66000,ซนจ.,062-6045364,ปข.6
ปณ.ตะพานหิน,66110,หน.ปณ.,091-772-0447,ปข.6
ปณ.ตะพานหิน,66110,งานรับฝาก/EMS,091-7720442,ปข.6
ปณ.บางมูลนาก,66120,หน.ปณ,091-772-3546,ปข.6
ปณ.บางมูลนาก,66120,งานรับฝาก/EMS,062-6045365,ปข.6
ปณ.โพทะเล,66130,หน.ปณ,091-772-3552,ปข.6
ปณ.สามง่าม,66140,หน.ปณ,091-772-3554,ปข.6
ปณ.ทับคล้อ,66150,ร/ก หน.ปณ,091-772-3568,ปข.6
ปณ.สากเหล็ก,66160,หน.ปณ,091-772-3550,ปข.6
ปณ.หัวดง,66170,หน.ปณ,091-772-3563,ปข.6
ปณ.วังทรายพูน,66180,หน.ปณ,091-772-3561,ปข.6
ปณ.โพธิ์ประทับช้าง,66190,หน.ปณ,091-772-3551,ปข.6
ปณ.วังตะกู,66210,หน.ปณ,091-772-3562,ปข.6
ปณ.กำแพงดิน,66220,หน.ปณ,091-772-0458,ปข.6
ปณ.เขาทราย,66230,หน.ปณ,091-772-0466,ปข.6
ปจ.เพชรบูรณ์,67000,หน.ปจ.เพชรบูรณ์,091-771-9022,ปข.6
ปจ.เพชรบูรณ์,67000,ผช.หน.ปจ.เพชรบูรณ์ (ต),091-772-0464,ปข.6
ปจ.เพชรบูรณ์,67000,ผช.หน.ปจ.เพชรบูรณ์ (ป),091-771-9026,ปข6
ปจ.เพชรบูรณ์,67000,ผอก.,091-772-0463,ปข6
ปจ.เพชรบูรณ์,67000,ทีมขาย,091-772-1256,ปข.6
ปจ.เพชรบูรณ์,67000,ผบป.,091-772-0468,ปข.6
ปจ.เพชรบูรณ์,67000,ผตข.,091-772-0457,ปข.6
ปจ.เพชรบูรณ์,67000,ซนจ.นจ.,091-771-9032,ปข.6
ปจ.เพชรบูรณ์,67000,ซนจ.นจ.,091-772-0462,ปข.6
ปจ.เพชรบูรณ์,67001,ซนจ.นจ.,095-945-6295,ปข.6
ปจ.เพชรบูรณ์,67002,ซนจ.นจ.,062-906-7808,ปข.6
ปณ.หล่มสัก,67110,หน.ปณ,091-772-0450,ปข.6
ปณ.หล่มเก่า,67120,หน.ปณ,091-772-0453,ปข.6
ปณ.วิเชียรบุรี,67130,หน.ปณ,091-772-1444,ปข.6
ปณ.หนองไผ่,67140,หน.ปณ,091-772-0456,ปข.6
ปณ.ชนแดน,67150,หน.ปณ,091-772-0449,ปข.6
ปณ.บึงสามพัน,67160,หน.ปณ,091-772-3726,ปข.6
ปณ.ศรีเทพ,67170,หน.ปณ,091-772-3716,ปข.6
ปณ.พุเตย,67180,หน.ปณ,091-772-3720,ปข.6
ปณ.ดงขุย,67190,หน.ปณ,091-772-3725,ปข.6
ปณ.วังชมภู,67210,หน.ปณ,091-772-3712,ปข.6
ปณ.นาเฉลียง,67220,หน.ปณ,091-772-3707,ปข.6
ปณ.วังพิกุล,67230,หน.ปณ,062-6045366,ปข.6
ปณ.วังโป่ง,67240,หน.ปณ,091-772-3705,ปข.6
ปณ.ท่าพล,67250,หน.ปณ,091-772-3724,ปข.6
ปณ.น้ำหนาว,67260,หน.ปณ,091-772-3708,ปข.6
ปณ.เขาค้อ,67270,หน.ปณ,091-772-3704,ปข.6
ปณ.เขาค้อ,67270,ติดต่อประสานที่พัก,062-6045367,ปข.6
ปณ.แคมป์สน,67280,หน.ปณ,091-772-3723,ปข.6
ปจ.เพชรบูรณ์,67000,ผนจ.,091-772-0472,ปข.6
ศป.นครสวรรค์,60010,หนผ.8 (ปด),091-7723748,ปข.6
ศป.นครสวรรค์,60010,หนผ.7 (อส),062-6045357,ปข.6
ศป.นครสวรรค์,60010,หนผ.8 (สข),062-6045356,ปข.6
ศป.นครสวรรค์,60010,ผช.หน.ศป.นครสวรรค์,091-7723734,ปข.6
ศป.นครสวรรค์,60010,หน.ศป.นครสวรรค์,091-7719037,ปข.6
ศป.พิษณุโลก,65010,หน.ศป.,091-772-0511,ปข.6
ศป.พิษณุโลก,65010,ผช.หน.ศป.,091-771-9025,ปข.6
ศป.พิษณุโลก,65010,นายเวร ค  สข.,091-772-0520,ปข.6
ศป.กรุงเทพฯ,10000,CEC,088-987-8293,ปน.3
ศป.สุวรรณภูมิ,10001,CEC,088-987-8294,ปน.4
ศป.หลักสี่,10010,CEC,088-987-8295,ปน.1
ศป.EMS,10020,CEC,088-987-8300,ปน.1
ศูนย์รับฝากไปรษณีย์จำนวนมากแจ้งวัฒนะ,10214,CEC,088-987-8301,ปน.1
ปณศ.พลับพลาไชย,10100,CEC,088-987-8302,ปน.1
ปณศ.พลับพลาไชย,10100,CEC,088-987-8305,ปน.1
ปณศ.ราชดำเนิน,10200,CEC,088-987-8306,ปน.1
ปณศ.ราชดำเนิน,10200,CEC,088-987-8307,ปน.1
ปณศ.หลักสี่,10210,CEC,088-987-8309,ปน.1
ปณศ.หลักสี่,10210,CEC,088-987-8310,ปน.1
ปณศ.ดุสิต,10300,CEC,088-987-8311,ปน.1
ปณศ.ดุสิต,10300,CEC,088-987-8313,ปน.1
ปณศ.สามเสนใน,10400,CEC,088-987-8314,ปน.1
ปณศ.สามเสนใน,10400,CEC,088-987-8315,ปน.1
ปณศ.บางซื่อ,10800,CEC,088-987-8316,ปน.1
ปณศ.บางซื่อ,10800,CEC,088-987-8318,ปน.1
ปณศ.จตุจักร,10900,CEC,088-987-8319,ปน.1
ปณศ.จตุจักร,10900,CEC,088-987-8320,ปน.1
ปณศ.นนทบุรี,11000,CEC,088-987-8322,ปน.1
ปณศ.นนทบุรี,11000,CEC,088-987-8323,ปน.1
ปณศ.บางบัวทอง,11110,CEC,088-987-8324,ปน.1
ปณศ.บางบัวทอง,11110,CEC,088-987-8325,ปน.1
ปณศ.ปากเกร็ด,11120,CEC,088-987-8326,ปน.1
ปณศ.ปากเกร็ด,11120,CEC,088-987-8327,ปน.1
ปณศ.บางกรวย,11130,CEC,088-987-8328,ปน.1
ปณศ.บางกรวย,11130,CEC,088-987-8329,ปน.1
ปณภ.บางใหญ่,11140,CEC,088-987-8330,ปน.1
ปณภ.บางใหญ่,11140,CEC,088-987-8334,ปน.1
ปณภ.ไทรน้อย,11150,CEC,088-987-8335,ปน.1
ปน.1 ส่วนควบคุมคุณภาพและดูแลลูกค้า,10400,CEC,088-987-8336,ปน.1
ปณศ.รามอินทรา,10220,CEC,088-987-8337,ปน.2
ปณศ.รามอินทรา,10220,CEC,088-987-8341,ปน.2
ปณศ.จรเข้บัว,10230,CEC,088-987-8342,ปน.2
ปณศ.จรเข้บัว,10230,CEC,088-987-8343,ปน.2
ศูนย์รับฝากไปรษณีย์จำนวนมากโชคชัย 4,10232,CEC,088-987-8344,ปน.2
ปณศ.คลองจั่น,10240,CEC,088-987-8345,ปน.2
ปณศ.คลองจั่น,10240,CEC,088-987-8346,ปน.2
ปณศ.ลาดพร้าว,10310,CEC,088-987-8351,ปน.2
ปณศ.ลาดพร้าว,10310,CEC,088-987-8352,ปน.2
ศูนย์รับฝากไปรษณีย์จำนวนมากบดินทรเดชา,10312,CEC,088-987-8353,ปน.2
ปณศ.มีนบุรี,10510,CEC,088-987-8354,ปน.2
ปณศ.มีนบุรี,10510,CEC,088-987-8355,ปน.2
ปณศ.ลาดกระบัง,10520,CEC,088-987-8356,ปน.2
ปณศ.ลาดกระบัง,10520,CEC,088-987-8357,ปน.2
ปณภ.หนองจอก,10530,CEC,088-987-8359,ปน.2
ปณศ.ปทุมธานี,12000,CEC,088-987-8360,ปน.2
ปณศ.ปทุมธานี,12000,CEC,088-987-8361,ปน.2
ปณภ.ธัญบุรี,12110,CEC,088-987-8362,ปน.2
ปณศ.คลองหลวง,12120,CEC,088-987-8363,ปน.2
ปณศ.คลองหลวง,12120,CEC,088-987-8364,ปน.2
ปณศ.รังสิต,12130,CEC,088-987-8366,ปน.2
ปณศ.รังสิต,12130,CEC,088-987-8367,ปน.2
ปณภ.ลาดหลุมแก้ว,12140,CEC,088-987-8368,ปน.2
ปณภ.ลำลูกกา,12150,CEC,088-987-8371,ปน.2
ปณภ.ลำลูกกา,12150,CEC,088-987-8372,ปน.2
ปณภ.สามโคก,12160,CEC,088-987-8373,ปน.2
ปณภ.หนองเสือ,12170,CEC,088-987-8374,ปน.2
ปน.2 ส่วนควบคุมคุณภาพและดูแลลูกค้า,10400,CEC,088-987-8375,ปน.2
ปณศ.ยานนาวา,10120,CEC,088-987-8377,ปน.3
ปณศ.ยานนาวา,10120,CEC,088-987-8378,ปน.3
ปณศ.บางขุนเทียน,10150,CEC,088-987-8385,ปน.3
ปณศ.บางขุนเทียน,10150,CEC,088-987-8386,ปน.3
ปณศ.ภาษีเจริญ,10160,CEC,088-987-8387,ปน.3
ปณศ.ภาษีเจริญ,10160,CEC,088-987-8388,ปน.3
ศูนย์รับฝากไปรษณีย์จำนวนมากเพชรเกษม 81,10164,CEC,088-987-8390,ปน.3
ปณศ.ตลิ่งชัน,10170,CEC,088-987-8391,ปน.3
ปณศ.ตลิ่งชัน,10170,CEC,088-987-8393,ปน.3
ปณศ.รองเมือง,10330,CEC,088-987-8394,ปน.3
ปณศ.รองเมือง,10330,CEC,088-987-8401,ปน.3
ศูนย์รับฝากไปรษณีย์จำนวนมากหัวลำโพง,10331,CEC,088-987-8402,ปน.3
ปณศ.บางรัก,10500,CEC,088-987-8404,ปน.3
ปณศ.บางรัก,10500,CEC,088-987-8405,ปน.3
ปณฝ.กลาง,10501,CEC,088-987-8406,ปน.3
ปณศ.สำเหร่,10600,CEC,088-987-8407,ปน.3
ปณศ.สำเหร่,10600,CEC,088-987-8411,ปน.3
ปณศ.บางกอกน้อย,10700,CEC,088-987-8412,ปน.3
ปณศ.บางกอกน้อย,10700,CEC,088-987-8413,ปน.3
ปน.3 ส่วนควบคุมคุณภาพและดูแลลูกค้า,10500,CEC,088-987-8414,ปน.3
ปณศ.พระโขนง,10110,CEC,088-987-8415,ปน.4
ปณศ.พระโขนง,10110,CEC,088-987-8416,ปน.4
ปณศ.พระประแดง,10130,CEC,088-987-8418,ปน.4
ปณศ.พระประแดง,10130,CEC,088-987-8419,ปน.4
ปณศ.ราษฎร์บูรณะ,10140,CEC,088-987-8420,ปน.4
ปณศ.ราษฎร์บูรณะ,10140,CEC,088-987-8421,ปน.4
ปณศ.อ่อนนุช,10250,CEC,088-987-8422,ปน.4
ปณศ.อ่อนนุช,10250,CEC,088-987-8423,ปน.4
ศูนย์รับฝากไปรษณีย์จำนวนมากอ่อนนุช 28,10255,CEC,088-987-8424,ปน.4
ปณศ.บางนา,10260,CEC,088-987-8431,ปน.4
ปณศ.บางนา,10260,CEC,088-987-8432,ปน.4
ปณศ.สมุทรปราการ,10270,CEC,088-987-8436,ปน.4
ปณศ.สมุทรปราการ,10270,CEC,088-987-8437,ปน.4
ปณศ.บางปู,10280,CEC,088-987-8438,ปน.4
ปณศ.บางปู,10280,CEC,088-987-8442,ปน.4
ปณศ.พระสมุทรเจดีย์,10290,CEC,088-987-8443,ปน.4
ปณศ.พระสมุทรเจดีย์,10290,CEC,088-987-8445,ปน.4
ปณศ.บางพลี,10540,CEC,088-987-8446,ปน.4
ปณศ.บางพลี,10540,CEC,088-987-8451,ปน.4
ปณภ.คลองด่าน,10550,CEC,088-987-8452,ปน.4
ปณภ.บางบ่อ,10560,CEC,088-987-8454,ปน.4
ปณภ.บางเสาธง,10570,CEC,088-987-8455,ปน.4
ปน.4 ส่วนควบคุมคุณภาพและดูแลลูกค้า,10500,CEC,088-987-8457,ปน.4
ปจ.พระนครศรีอยุธยา,13000,CEC,088-987-8458,ปข.1
ปจ.พระนครศรีอยุธยา,13000,CEC,088-987-8459,ปข.1
ปณภ.บางปะหัน,13220,CEC,088-987-8462,ปข.1
ปณภ.ท่าเรือ,13130,CEC,088-987-8463,ปข.1
ปณภ.ลาดบัวหลวง,13230,CEC,088-987-8468,ปข.1
ปณภ.เสนา,13110,CEC,088-987-8469,ปข.1
ปณภ.บางไทร,13190,CEC,088-987-8472,ปข.1
ปณภ.ภาชี,13140,CEC,088-987-8473,ปข.1
ปณภ.นครหลวง,13260,CEC,088-987-8477,ปข.1
ปณภ.บางปะอิน,13160,CEC,088-987-8478,ปข.1
ปณภ.วังน้อย,13170,CEC,088-987-8479,ปข.1
ปณภ.ประตูน้ำพระอินทร์,13180,CEC,088-987-8481,ปข.1
ปณภ.อุทัย,13210,CEC,088-987-8482,ปข.1
ปณภ.มหาราช,13150,CEC,088-987-8485,ปข.1
ปณภ.บ้านแพรก,13240,CEC,088-987-8486,ปข.1
ปณภ.บางบาล,13250,CEC,088-987-8487,ปข.1
ปณภ.ผักไห่,13120,CEC,088-987-8488,ปข.1
ปณภ.บางซ้าย,13270,CEC,088-987-8489,ปข.1
ปณภ.ลาดชะโด,13280,CEC,088-987-8490,ปข.1
